scraped_at,sldc_ts,frequency,escom,biomass_mw,cogen_mw,minihydro_mw,wind_mw,solar_mw,grid_drawal_mw,total_mw
2026-05-07T00:48:50,07/05/2026 00:40:01,49.99,TOTAL_IPPS,7.0,146.0,58.0,1179.0,0.0,1396.0,1390.0
2026-05-07T00:58:52,07/05/2026 00:50:01,49.95,BESCOM,5.0,0.0,4.0,111.0,25.0,121.0,145.0
2026-05-07T00:58:52,07/05/2026 00:50:01,49.95,MESCOM,0.0,0.0,33.0,4.0,0.0,38.0,37.0
2026-05-07T00:58:52,07/05/2026 00:50:01,49.95,CESC,1.0,0.0,19.0,48.0,0.0,70.0,68.0
2026-05-07T00:58:52,07/05/2026 00:50:01,49.95,GESCOM,1.0,11.0,1.0,423.0,19.0,437.0,455.0
2026-05-07T00:58:52,07/05/2026 00:50:01,49.95,HESCOM,0.0,134.0,0.0,443.0,39.0,578.0,616.0
2026-05-07T00:58:52,07/05/2026 00:50:01,49.95,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T00:58:52,07/05/2026 00:50:01,49.95,TOTAL_IPPS,8.0,147.0,59.0,1028.0,0.0,1248.0,1242.0
2026-05-07T01:08:53,07/05/2026 01:00:01,50.02,BESCOM,4.0,0.0,4.0,81.0,25.0,90.0,114.0
2026-05-07T01:08:53,07/05/2026 01:00:01,50.02,MESCOM,0.0,0.0,33.0,3.0,0.0,36.0,36.0
2026-05-07T01:08:53,07/05/2026 01:00:01,50.02,CESC,1.0,0.0,19.0,50.0,0.0,72.0,70.0
2026-05-07T01:08:53,07/05/2026 01:00:01,50.02,GESCOM,1.0,18.0,0.0,404.0,19.0,417.0,442.0
2026-05-07T01:08:53,07/05/2026 01:00:01,50.02,HESCOM,0.0,134.0,0.0,389.0,39.0,523.0,562.0
2026-05-07T01:08:53,07/05/2026 01:00:01,50.02,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T01:08:53,07/05/2026 01:00:01,50.02,TOTAL_IPPS,7.0,146.0,58.0,925.0,0.0,1143.0,1136.0
2026-05-07T01:18:55,07/05/2026 01:10:01,49.98,BESCOM,5.0,0.0,3.0,75.0,25.0,84.0,108.0
2026-05-07T01:18:55,07/05/2026 01:10:01,49.98,MESCOM,0.0,0.0,29.0,0.0,0.0,30.0,29.0
2026-05-07T01:18:55,07/05/2026 01:10:01,49.98,CESC,1.0,0.0,20.0,49.0,0.0,72.0,70.0
2026-05-07T01:18:55,07/05/2026 01:10:01,49.98,GESCOM,1.0,20.0,0.0,383.0,19.0,406.0,423.0
2026-05-07T01:18:55,07/05/2026 01:10:01,49.98,HESCOM,0.0,136.0,0.0,387.0,39.0,524.0,562.0
2026-05-07T01:18:55,07/05/2026 01:10:01,49.98,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T01:18:55,07/05/2026 01:10:01,49.98,TOTAL_IPPS,8.0,158.0,54.0,899.0,0.0,1118.0,1119.0
2026-05-07T01:28:57,07/05/2026 01:20:01,49.97,BESCOM,5.0,0.0,3.0,69.0,25.0,82.0,102.0
